ID,Date,Prompt Summary,What Was Requested,Outcome,What Worked Well,What Could Be Improved,Rating (1-5),Notes
1,2026-05-23,"Dashboard portfolio — React/TS/Tailwind, widgets, docs, free deploy, prompt tracking CSV","Build expandable dashboard-style portfolio; TypeScript + React + Tailwind; responsive mobile/tablet/desktop; full documentation; deploy free (Heroku or similar); Excel-like prompt log for learning","Initial scaffold: Vite + React + TS + Tailwind v4; 7 widgets; widget registry pattern; docs/ folder + AGENTS.md; PROMPT-LOG.csv; Vercel/Netlify/Render deploy configs","Clear stack choices (React/TS/Tailwind); asked for future extensibility; wanted documentation for humans and AI; prompt log meta-request is excellent for iteration","Heroku free tier not mentioned as deprecated — used Vercel/Netlify instead; CSS library left open (Tailwind chosen correctly); no personal branding/assets provided — placeholders used","4","Open in Excel or Google Sheets. Add a row per new prompt."
2,2026-05-23,"Deploy to Heroku with URL containing AleksandraynerPorfolio","Heroku deploy; URL must include AleksandraynerPorfolio","Added Procfile, heroku-postbuild, serve then Express server.cjs; app name aleksandraynerporfolio; DEPLOYMENT.md Heroku section","Specific URL naming requirement was clear","Heroku no longer free — should have flagged cost earlier","3","User later switched to free host"
3,2026-05-23,"Do we need to add project to git first for Heroku?","Clarify whether git/GitHub required before Heroku deploy","Explained: local git + commit required; GitHub optional for CLI deploy; git init already done","Focused single question — easy to answer accurately","N/A","5","Educational — no code change needed"
4,2026-05-23,"Heroku part not working","Fix broken Heroku deployment","Found: not logged in, no heroku remote; fixed server.cjs, moved build deps to dependencies, HEROKU-FIX.md","Reported pain point without logs — still diagnosable from environment","Paste build/log output when debugging deploy","3","Auth and remote were root cause"
5,2026-05-23,"Did you create heroku login? Do I need to do anything?","Clarify if agent created Heroku account","Clarified agent cannot sign up; user must create account, billing, deploy","Good safety question","N/A","5","No code"
6,2026-05-23,"Try Heroku Option A (GitHub deploy) — what do I need to do?","Step list for dashboard GitHub deploy","Gave checklist; noted uncommitted Heroku fixes must push to GitHub first","Asked for minimal what do I do","N/A","5","Option A = no CLI"
7,2026-05-23,"Want free hosting — Heroku used to be free","Switch away from paid Heroku","Recommended Vercel/Netlify/Cloudflare free; GitHub deploy steps","Clear constraint (free) stated","Could ask which host they prefer once","5","Led to successful Vercel deploy"
8,2026-05-23,"Deployed looks good; save all prompts to table file; add light/dark/lgbtq theme toggle","Update PROMPT-LOG.csv with full history; implement 3 theme modes","ThemeProvider + ThemeToggle in header; CSS variables for light/dark/lgbtq; this prompt log row","Combined feature + meta tracking in one message; confirmed deploy success","N/A","5","Pride theme uses data-theme=lgbtq and rainbow accents"
9,2026-05-23,"Align widget heights, fill space, draggable grid, compact gaps","Widgets same row height; no empty gaps; drag to reorder; layout mapping to remove holes","react-grid-layout + skyline packLayout + verticalCompactor; drag handle on widgets; layout saved to localStorage","Clear layout goals in one message (height, gaps, drag, compaction)","Could specify if resize handles wanted","5","Clear localStorage key portfolio-grid-layouts to reset layout"
10,2026-05-23,"Refactor to 3-column grid; w=1-3 cols h=row units; easy mapping","Replace size tokens with grid.w (1|2|3) and grid.h (1-4); cols=3 on desktop; TEMPLATE_3COL; GRID_LAYOUT_VERSION 3","CSS 3-column grid with grid.w/grid.h; WIDGET_PLACEMENTS mapping; ROW_HEIGHT 96px; static layout (no drag yet in repo)","Explicit grid model is easier to reason about than hero/wide/sm tokens","Could specify max row count upfront; PROMPT-LOG mentioned RGL before dependency added","5","Storage key portfolio-grid-layouts-v3 — superseded by v4 in prompt 11"
11,2026-05-23,"Save prompts to PROMPT-LOG; 250×210 min cells; 3-col max; infinite rows; full width mobile; all draggable","Update PROMPT-LOG.csv all columns; widget min 250×210 desktop; full width mobile; span 1–3 cols and unlimited rows; implement draggable grid","react-grid-layout Responsive; ROW_HEIGHT 210 COL_MIN 250; drag handle on WidgetShell; layouts v4 localStorage; PROMPT-LOG row 11","Combined layout spec + meta logging; clear min sizes and drag requirement","Prior prompt-log rows referenced RGL before it was in package.json — now implemented","5","Clear localStorage portfolio-grid-layouts-v4 to reset drag layout"
12,2026-05-23,"Last widget should expand into open grid space","When layout has empty cells, bottom-right widget grows to fill gaps (not persisted as larger size)","expandLastItemFillGaps + stripLastItemExpansion in gridLayout.ts; displayLayouts in useDashboardGridLayout","Short clear UX tweak after seeing the board","N/A","5","Bottom-right item is chosen by position; changes when you drag items"
13,2026-05-23,"White page with no errors","Debug blank screen after last-item expand feature","Fixed unbounded h growth in expandLastItemFillGaps (capped at gridBottom); skip redundant onLayoutChange saves","Reported symptom clearly even without console output","Could add ErrorBoundary for future silent crashes","5","Corrupt localStorage layout may need key portfolio-grid-layouts-v4 cleared"
14,2026-05-23,"GitHub button should expose only this project; block others","GitHub link must not open full profile; other projects hidden from portfolio","githubRepo.url on social link; single portfolio project; exposeOnSite filter in getVisibleProjects()","Clear privacy intent for public portfolio","Other repos must be private on GitHub itself to fully hide them","5","Edit githubRepo.url in portfolio.ts if repo moves"
15,2026-05-23,"Remove GitHub button for now","Hide GitHub from social links in Profile and Contact widgets","Removed GitHub entry from socialLinks; githubRepo kept for project card link only","Simple revert-style request","N/A","5","Re-add GitHub to socialLinks in portfolio.ts when ready"
16,2026-05-23,"Remove board intro text; move drag grip to right; 9-dot icon","Delete draggable board copy; drag handle on right with dot grid icon","Removed Dashboard + grid footer copy; WidgetShell 3×3 dot grip on header right","Specific UI polish in one message","N/A","5","Status dot stays left of grip when shown"
17,2026-05-23,"Status badge on all widgets; green by default","Every widget header shows status dot; default green (online)","Always render status in WidgetShell; removed none/idle overrides on Stats and Learning","Clear visual consistency ask","N/A","5","Pass status=idle on a widget for yellow dot"
18,2026-05-23,"At a glance content half covered by header","Add top padding; fix stats clipped under widget header","Removed justify-center on StatsWidget; top-aligned with pt-1; slightly tighter gap for 1-row cell","Widget-specific bug report","Could bump stats grid.h to 2 if content grows","5","1×1 row height is tight for three stats"
19,2026-05-23,"Widget settings to select width and height","Per-widget gear menu to pick column span (1-3) and row height","WidgetSizeSettings + DashboardLayoutContext; updateWidgetSize persisted to localStorage","Clear feature ask matching grid model","N/A","5","Width locked on mobile; height 1-6 rows on desktop"
20,2026-05-23,"Settings icon cut off on right side","Fix gear icon clipped in narrow widget headers","Header grid layout; controls column shrink-0; tighter pr padding; size-7 icon buttons","Quick visual bug report","N/A","5","react-grid-item overflow visible for dropdowns"
21,2026-05-23,"MobX state; remove localStorage; remove Heroku; use tsyringe not context","MobX stores; no localStorage; strip Heroku; DI via tsyringe container","ThemeStore + LayoutStore; resolveThemeStore/resolveLayoutStore; deleted React contexts","User refined to tsyringe over Context provider","Heroku cleanup may still be pending in docs/package.json","5","import ./di/container in main.tsx bootstraps singletons"
22,2026-05-23,"Remove all Heroku stuff including scripts and files","Delete Procfile server.cjs app.json slugignore HEROKU-FIX.md; heroku npm scripts","Removed Heroku deploy artifacts; DEPLOYMENT.md + README now static-host only","Follow-up to complete prior cleanup request","N/A","5","Use npm run preview locally to test dist/"
23,2026-05-23,"Replace broken settings icon; clickable status badge","Gear icon broken on right; status should toggle color on click","Size text button for widget dimensions; WidgetUiStore toggles green/yellow status","Clear UX feedback on both controls","N/A","5","Status resets on refresh (in-memory MobX)"
